,count,kewword,keep
646,2,Science fiction,
647,2,Indexes,
649,2,Science fiction,
650,2,Science fiction,
651,2,Humorous stories,
652,2,Fiction,
653,2,Aesthetics,
654,2,Science fiction,
655,2,Fiction,
656,2,Fiction,
657,2,Fiction,
658,2,Narcissism,
661,2,Science fiction,
662,2,Science fiction,
663,2,Science fiction,
664,2,Mars (Planet) -- Fiction,
665,2,Fiction,
666,2,Questions and answers -- Periodicals,
667,2,Fiction,
668,2,Science fiction,
670,2,Science fiction,
671,2,Science fiction,
672,2,Short stories,
673,2,Esperanto -- Periodicals,
674,2,Bats,
675,2,Political science,
676,2,Canadian poetry,
677,2,Canadian poetry,
678,2,Fiction,
679,2,Science fiction,
680,2,Science fiction,
681,2,Short stories,
682,2,"United States -- History -- Civil War, 1861-1865 -- Fiction",
683,2,"United States -- History -- Civil War, 1861-1865 -- Fiction",
684,2,France -- History -- 1789-1900 -- Fiction,
685,2,Cathedrals -- Spain,
686,2,Science fiction,
687,2,English fiction -- 19th century,
688,2,Science fiction,
689,2,English wit and humor -- Periodicals,
692,2,Science fiction,
693,2,Science fiction,
694,2,Scientists -- Juvenile fiction,
696,2,Science fiction,
697,2,Short stories,
698,2,Science fiction,
699,2,Short stories,
700,2,"Mexico -- History -- Conquest, 1519-1540",
701,2,Science fiction,
702,2,Science fiction,
703,2,American literature -- Periodicals,
704,2,Science fiction,
705,2,Short stories,
706,2,Bible. Romans -- Commentaries,
707,2,Fiction,
708,2,London (England) -- Social life and customs -- 19th century,
709,2,Science fiction,
710,2,South Africa -- Fiction,
711,2,Science fiction,
712,2,German fiction -- Translations into English,
713,2,Children's periodicals,
714,2,Children's periodicals,
715,2,Yucatán (Mexico : State) -- Description and travel,
716,2,Children's periodicals,
718,2,Detective and mystery stories,
719,2,Fiction,
720,2,Canadian poetry,
721,2,Fiction,
722,2,Great Britain -- Social conditions -- 20th century,
723,2,German fiction -- Translations into English,
724,2,Fiction,
726,2,German fiction -- Translations into English,
728,2,German fiction -- Translations into English,
730,2,Trapping,
731,2,Suspense fiction,
733,2,German drama -- Translations into English,
734,2,German drama -- Translations into English,
735,2,Fiction,
736,2,"Mexico -- History -- Conquest, 1519-1540 -- Fiction",
737,2,Fiction,
738,2,Fiction,
740,2,Fiction,
741,2,Camping,
742,2,American fiction,
743,2,Fiction,
744,2,Fiction,
745,2,Fiction,
747,2,German fiction -- Translations into English,
748,2,English fiction -- 19th century,
749,2,Fiction,
750,2,Fiction,
753,2,Fiction,
754,2,Polish fiction -- Translations into English,
756,2,English wit and humor -- Periodicals,
757,2,Austrian fiction -- Translations into English,
758,2,Latin literature -- History and criticism,
759,2,"Ireland -- History -- Union, 1801 -- Fiction",
761,2,"Hedwig, Herzogin von Schwaben, approximately 938-994 -- Fiction",
763,2,Fiction,
764,2,"Leighton of Stretton, Frederic Leighton, Baron, 1830-1896",
766,2,Animals -- Juvenile fiction,
767,2,Cornwall (England : County) -- Fiction,
769,2,Free thought,
770,2,South African fiction (English),
771,2,South Africa -- Fiction,
772,2,"Bible. New Testament -- Criticism, interpretation, etc.",
773,2,South Africa -- Fiction,
774,2,Canadian poetry,
776,2,Social reformers -- Great Britain -- Biography,
779,2,"Franklin, Benjamin, 1706-1790",
780,2,Canadian poetry,
781,2,"Mary, Queen of Scots, 1542-1587",
782,2,Poetry,
783,2,Canadian poetry,
784,2,Polish fiction -- Translations into English,
786,2,Poetry,
787,2,"Paine, Thomas, 1737-1809",
788,2,"Austro-Prussian War, 1866 -- Fiction",
789,2,Norway -- Fiction,
